DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,HU,2019,3.39,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,HU,2020,11.79,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,HU,2021,19.01,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,HU,2022,8.23,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2014,41.44,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2015,36.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2016,52.70,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2017,64.47,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2018,77.21,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2019,70.23,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2020,89.16,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2021,91.78,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IE,2022,118.19,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2014,143.23,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2015,327.34,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2016,242.95,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2017,632.62,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2018,451.96,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2019,417.59,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2020,582.81,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2021,731.4,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,IT,2022,957.81,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2014,0.26,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2015,0.43,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2016,0.54,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2017,1.48,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2018,0.76,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2019,1.99,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2020,2.73,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2021,3.32,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LT,2022,4.00,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2014,36.26,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2015,45.65,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2016,129.53,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2017,40.43,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2018,40.98,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2019,51.43,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2020,31.5,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2021,39.13,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LU,2022,66.03,b
